bizid,Aid_Section,중위소득,homeless_Whether,school_year _system,1인가구 여부,신혼부부,농업인,소상공인,차상위계층,기초생활 및 생계급여
R2022031100317,-,-,-,-,-,-,-,-,-,-
R2022031100318,-,-,-,-,-,-,-,-,-,-
R2022031100319,-,-,-,-,-,-,-,-,-,-
R2022031100320,-,-,-,-,-,-,-,-,-,-
R2022031100321,-,-,-,-,-,-,-,-,-,-
R2022031100322,-,-,-,-,-,-,-,-,-,-
R2022031100323,-,-,-,-,-,-,-,-,-,-
R2022031100324,-,-,-,-,-,-,-,-,-,-
R2022031100325,-,-,-,-,-,-,-,-,-,-
R2022031100326,-,-,-,-,-,-,-,-,-,-
R2022031100327,-,-,-,-,-,-,-,-,-,-
R2022031100328,-,-,-,-,-,-,-,-,-,-
R2022031100329,-,-,-,-,-,-,-,-,-,-
R2022031100330,-,-,-,-,-,-,-,-,-,-
R2022031100331,-,-,-,-,-,-,-,-,-,-
R2022031100332,-,-,-,-,-,-,-,-,-,-
R2022031100333,-,-,-,-,-,-,-,-,-,-
R2022031100334,-,-,-,-,-,-,-,-,-,-
R2022031100335,-,-,-,-,-,-,-,-,-,-
R2022031100336,-,-,-,-,-,-,-,-,-,-
R2022031100337,-,-,-,-,-,-,-,-,-,-
R2022031100338,-,-,-,-,-,-,-,-,-,-
R2022031100339,-,-,-,-,-,-,-,-,-,-
